county,population
"Dade,GA",16081
"Dawson,GA",30138
"Decatur,GA",28982
"DeKalb,GA",762820
"Dodge,GA",19802
"Dooly,GA",10572
"Dougherty,GA",82966
"Douglas,GA",147316
"Early,GA",10574
"Echols,GA",3686
"Effingham,GA",69041
"Elbert,GA",19814
"Emanuel,GA",22929
"Evans,GA",10695
"Fannin,GA",25737
"Fayette,GA",122030
"Floyd,GA",99443
"Forsyth,GA",267237
"Franklin,GA",24128
"Fulton,GA",1074634
"Gilmer,GA",32407
"Glascock,GA",2939
"Glynn,GA",85079
"Gordon,GA",58954
"Grady,GA",26008
"Greene,GA",20139
"Gwinnett,GA",975353
"Habersham,GA",47475
"Hall,GA",212692
"Hancock,GA",8387
"Haralson,GA",31337
"Harris,GA",36276
"Hart,GA",26909
"Heard,GA",11725
"Henry,GA",248364
"Houston,GA",169631
"Irwin,GA",9126
"Jackson,GA",83936
"Jasper,GA",15951
"Jeff Davis,GA",14889
"Jefferson,GA",15314
"Jenkins,GA",8689
"Johnson,GA",9242
"Jones,GA",28472
"Lamar,GA",19467
"Lanier,GA",10171
"Laurens,GA",49660
"Lee,GA",33642
"Liberty,GA",68030
"Lincoln,GA",7841
"Long,GA",18348
"Lowndes,GA",119739
"Lumpkin,GA",34796
"McDuffie,GA",21713
"McIntosh,GA",11180
"Macon,GA",11765
"Madison,GA",31473
"Marion,GA",7449
"Meriwether,GA",20845
"Miller,GA",5807
"Mitchell,GA",21116
"Monroe,GA",29427
"Montgomery,GA",8655
"Morgan,GA",21031
"Murray,GA",40472
"Muscogee,GA",202616
"Newton,GA",117621
"Oconee,GA",43588
"Oglethorpe,GA",15469
"Paulding,GA",178421
"Peach,GA",28562
"Pickens,GA",34826
"Pierce,GA",20168
"Pike,GA",19990
"Polk,GA",43709
"Pulaski,GA",9984
"Putnam,GA",22984
"Quitman,GA",2249
"Rabun,GA",17206
"Randolph,GA",6116
"Richmond,GA",206640
"Rockdale,GA",94984
"Schley,GA",4496
"Screven,GA",13977
"Seminole,GA",9127
"Spalding,GA",68919
"Stephens,GA",26767
"Stewart,GA",4648
"Sumter,GA",28877
"Talbot,GA",5747
"Taliaferro,GA",1600
"Tattnall,GA",24064
"Taylor,GA",7737
"Telfair,GA",12354
"Terrell,GA",8754
"Thomas,GA",45561
"Tift,GA",41412
"Toombs,GA",26837
"Towns,GA",12972
"Treutlen,GA",6365
"Troup,GA",70191
"Turner,GA",8842
"Twiggs,GA",7680
"Union,GA",26388
"Upson,GA",28086
"Walker,GA",68915
"Walton,GA",103065
"Ware,GA",35614
"Warren,GA",5155
"Washington,GA",19738
"Wayne,GA",30896
"Webster,GA",2328
"Wheeler,GA",7314
"White,GA",28806
"Whitfield,GA",103132
"Wilcox,GA",8761
"Wilkes,GA",9599
"Wilkinson,GA",8681
"Worth,GA",20424
"Hawaii,HI",206315
"Honolulu,HI",995638
"Kalawao,HI",82
"Kauai,HI",73810
"Maui,HI",164351
"Ada,ID",518907
"Adams,ID",4817
"Bannock,ID",89517
"Bear Lake,ID",6722
"Benewah,ID",10370
"Bingham,ID",49923
"Blaine,ID",24866
"Boise,ID",8333
"Bonner,ID",51414
"Bonneville,ID",129496
"Boundary,ID",13345
"Butte,ID",2684
"Camas,ID",1153
"Canyon,ID",251065
"Caribou,ID",7190
"Cassia,ID",25655
"Clark,ID",806
"Clearwater,ID",9015
"Custer,ID",4506
"Elmore,ID",29403
"Franklin,ID",15189
"Fremont,ID",13978
"Gem,ID",20418
"Gooding,ID",15715
"Idaho,ID",17593
"Jefferson,ID",33428
"Jerome,ID",25311
"Kootenai,ID",183578
"Latah,ID",40978
"Lemhi,ID",8240
"Lewis,ID",3763
"Lincoln,ID",5329
"Madison,ID",54976
"Minidoka,ID",22194
"Nez Perce,ID",43004
"Oneida,ID",4712
"Owyhee,ID",12613
"Payette,ID",26956
"Power,ID",8068
"Shoshone,ID",14012
"Teton,ID",12544
"Twin Falls,ID",93696
"Valley,ID",12464
"Washington,ID",11087
"Adams,IL",64725
"Alexander,IL",4858
"Bond,IL",16566
"Boone,IL",53154
"Brown,IL",6330
"Bureau,IL",32828
"Calhoun,IL",4360
"Carroll,IL",15529
"Cass,IL",12657
"Champaign,IL",206542
"Christian,IL",33436
"Clark,IL",15229
"Clay,IL",13047
"Clinton,IL",36909
"Coles,IL",46334
"Cook,IL",5109292
"Crawford,IL",18536
"Cumberland,IL",10324
"DeKalb,IL",100232
"De Witt,IL",15310
"Douglas,IL",19755
"DuPage,IL",920901
"Edgar,IL",16433
"Edwards,IL",6071
"Effingham,IL",34325
"Fayette,IL",21305
"Ford,IL",13249
"Franklin,IL",37242
"Fulton,IL",33021
"Gallatin,IL",4855
"Greene,IL",11651
"Grundy,IL",53041
"Hamilton,IL",7984
"Hancock,IL",17244
"Hardin,IL",3597
"Henderson,IL",6151
"Henry,IL",48419
"Iroquois,IL",26473
"Jackson,IL",52617
"Jasper,IL",9212
"Jefferson,IL",36400
"Jersey,IL",21246
"Jo Daviess,IL",21758
"Johnson,IL",13381
"Kane,IL",514182
"Kankakee,IL",106074
"Kendall,IL",137254
"Knox,IL",48640
"Lake,IL",709150
"LaSalle,IL",108078
"Lawrence,IL",14914
"Lee,IL",33848
"Livingston,IL",35521
"Logan,IL",27591
"McDonough,IL",26861
"McHenry,IL",311747
"McLean,IL",171141
"Macon,IL",101483
"Macoupin,IL",44245
"Madison,IL",263864
"Marion,IL",36914
"Marshall,IL",11678
"Mason,IL",12748
"Massac,IL",13896
"Menard,IL",12121
"Mercer,IL",15504
"Monroe,IL",35033
"Montgomery,IL",28020
"Morgan,IL",32209
"Moultrie,IL",14323
"Ogle,IL",51351
"Peoria,IL",178383
"Perry,IL",20588
"Piatt,IL",16723
"Pike,IL",14484
"Pope,IL",3770
"Pulaski,IL",4991
"Putnam,IL",5572
"Randolph,IL",30068
"Richland,IL",15435
"Rock Island,IL",141527
"St Clair,IL",252671
"Saline,IL",23087
"Sangamon,IL",194534
"Schuyler,IL",6746
